id	common	scientific	dir
1	Cooper's Hawk	Accipiter cooperii	coopers_hawk
2	Northern Goshawk	Accipiter gentilis	northern_goshawk
3	Sharp-shinned Hawk	Accipiter striatus	sharp_shinned_hawk
4	Golden Eagle	Aquila chrysaetos	golden_eagle
5	White-tailed Hawk	Buteo albicaudatus	white_tailed_hawk
6	Zone-tailed Hawk	Buteo albonotatus	zone_tailed_hawk
7	Red-tailed Hawk	Buteo jamaicensis	red_tailed_hawk
8	Rough-legged Hawk	Buteo lagopus	rough_legged_hawk
9	Red-shouldered Hawk	Buteo lineatus	red_shouldered_hawk
10	Broad-winged Hawk	Buteo platypterus	broad_winged_hawk
11	Ferruginous Hawk	Buteo regalis	ferruginous_hawk
12	Swainson's Hawk	Buteo swainsoni	swainsons_hawk
13	Common Black-Hawk	Buteogallus anthracinus	common_black_hawk
14	Northern Harrier	Circus cyaneus	northern_harrier
15	Swallow-tailed Kite	Elanoides forficatus	swallow_tailed_kite
16	White-tailed Kite	Elanus leucurus	white_tailed_kite
17	Bald Eagle	Haliaeetus leucocephalus	bald_eagle
18	Mississippi Kite	Ictinia mississippiensis	mississippi_kite
19	Harris's Hawk	Parabuteo unicinctus	harriss_hawk
20	Snail Kite	Rostrhamus sociabilis	snail_kite
21	Bushtit	Psaltriparus minimus	bushtit
22	Horned Lark	Eremophila alpestris	horned_lark
23	Belted Kingfisher	Megaceryle alcyon	belted_kingfisher
24	Pigeon Guillemot	Cepphus columba	pigeon_guillemot
25	Black Guillemot	Cepphus grylle	black_guillemot
26	Common Murre	Uria aalge	common_murre
27	Northern Pintail	Anas acuta	northern_pintail
28	American Wigeon	Anas americana	american_wigeon
29	Green-winged Teal	Anas crecca	green_winged_teal
30	Cinnamon Teal	Anas cyanoptera	cinnamon_teal
31	Blue-winged Teal	Anas discors	blue_winged_teal
32	Mottled Duck	Anas fulvigula	mottled_duck
33	Eurasian Wigeon	Anas penelope	eurasian_wigeon
34	Mallard	Anas platyrhynchos	mallard
35	American Black Duck	Anas rubripes	american_black_duck
36	Gadwall	Anas strepera	gadwall
37	Lesser Scaup	Aythya affinis	lesser_scaup
38	Redhead	Aythya americana	redhead
39	Ring-necked Duck	Aythya collaris	ring_necked_duck
40	Greater Scaup	Aythya marila	greater_scaup
41	Canvasback	Aythya valisineria	canvasback
